# The file has the following structure:
# Filename	Experiment	Replicate	Genome	RestrictionEnzyme
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_022.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_026.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_050.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_006.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_008.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_036.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_007.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_012.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_033.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_013.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_023.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_009.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_043.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_028.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_025.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_030.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_037.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_042.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_017.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_054.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_035.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_053.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_002.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_016.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_032.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_010.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_045.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_021.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_029.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_052.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_020.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_005.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_049.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_055.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_034.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_044.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_014.hdf5	Martin	R1	hg19	HindIII
Sample_HiC_LY1_1/sam_files/HiC_LY1_1_NoIndex_L003_040.hdf5	Martin	R1	hg19	HindIII
